,Name,Cost,Protein (g),Calories,Fat (g),Servings,Preparation Time (m),Health Score,Gluten Free,Vegetarian,Dairy Free,name lower,Food Type,Meat Type
79,Meyer Lemon Cheesecake,0.23106060606060605,0.09523809523809523,0.16743613419513698,0.12844036697247707,0.0847457627118644,0.061068702290076333,0.015873015873015872,False,False,False,meyer lemon cheesecake,Dessert,Vegetarian
80,Caldo Verde - Portuguese Kale Soup,0.8522727272727272,0.3238095238095238,0.36995998768851956,0.11314984709480122,0.01694915254237288,0.061068702290076333,1.0,True,False,True,caldo verde - portuguese kale soup,Soup,Vegetarian
81,Cream Cheese Stuffed Chicken Breasts,0.4015151515151515,0.2857142857142857,0.12927054478301014,0.09785932721712538,0.01694915254237288,0.061068702290076333,0.19047619047619047,True,False,False,cream cheese stuffed chicken breasts,Poultry,Meat
82,Rocky Road Ice Cream,0.49431818181818177,0.2761904761904762,0.26069559864573716,0.19877675840978593,0.06779661016949153,0.061068702290076333,0.6031746031746031,True,False,False,rocky road ice cream,Dessert,Vegetarian
83,Powdered Buttermilk Beignets With Raspberry and Chocolate Dipping Sauce,0.045454545454545456,0.02857142857142857,0.035395506309633736,0.012232415902140673,0.23728813559322035,0.061068702290076333,0.031746031746031744,False,False,False,powdered buttermilk beignets with raspberry and chocolate dipping sauce,Dessert,Vegetarian
84,Blueberry Almond Crescent Rolls,0.14204545454545453,0.02857142857142857,0.07202216066481995,0.03669724770642202,0.05084745762711865,0.061068702290076333,0.0,False,False,False,blueberry almond crescent rolls,Grain/Pasta/Starch,Vegetarian
86,California Wild Rice & Beef Cabbage Wrap With Crunchy Ricotta Cheese,0.10984848484848483,0.10476190476190476,0.05755617112957833,0.03058103975535168,0.05084745762711865,0.061068702290076333,0.09523809523809523,True,False,False,california wild rice & beef cabbage wrap with crunchy ricotta cheese,Beef,Meat
87,Halloween Mocha Cupcakes,0.2518939393939394,0.05714285714285714,0.1329639889196676,0.09174311926605505,0.0847457627118644,0.061068702290076333,0.015873015873015872,False,False,False,halloween mocha cupcakes,Dessert,Vegetarian
88,"Creamy Polenta with Egg, Arrabiata & Bacon",0.4507575757575757,0.2,0.16528162511542013,0.11009174311926606,0.01694915254237288,0.061068702290076333,0.09523809523809523,True,False,False,"creamy polenta with egg, arrabiata & bacon",Pork,Meat
89,Rum Raisin Carrot Cake with Cream Cheese Frosting,0.5303030303030303,0.12380952380952381,0.3490304709141274,0.1926605504587156,0.05084745762711865,0.061068702290076333,0.14285714285714285,False,True,False,rum raisin carrot cake with cream cheese frosting,Dessert,Vegetarian
90,Charlotte Potato Salad,0.10795454545454544,0.05714285714285714,0.07048322560787934,0.05504587155963303,0.01694915254237288,0.03816793893129771,0.09523809523809523,True,False,True,charlotte potato salad,Grain/Pasta/Starch,Vegetarian
91,"Spinach, Tomato & Onion Couscous",0.5909090909090909,0.18095238095238095,0.16682056017236072,0.07339449541284404,0.00847457627118644,0.061068702290076333,0.8888888888888888,False,True,False,"spinach, tomato & onion couscous",Veggies/Beans,Vegetarian
92,Slow Cooked Corned Beef and Cabbage,0.4034090909090909,0.23809523809523808,0.11449676823638043,0.06422018348623854,0.06779661016949153,0.7557251908396947,0.7777777777777778,True,False,True,slow cooked corned beef and cabbage,Beef,Meat
93,Cornmeal-Crusted Catfish with Cajun Seasoning and Spicy Tartar Sauce,0.5359848484848485,0.2571428571428571,0.1252693136349646,0.07951070336391437,0.01694915254237288,0.061068702290076333,0.3968253968253968,True,False,False,cornmeal-crusted catfish with cajun seasoning and spicy tartar sauce,Dessert,Vegetarian
94,Candied Spiced Pecans,0.1837121212121212,0.01904761904761905,0.11172668513388735,0.07339449541284404,0.05084745762711865,0.061068702290076333,0.031746031746031744,True,True,False,candied spiced pecans,Dessert,Vegetarian
95,Hot Cocaccino,0.22537878787878785,0.0761904761904762,0.13758079409048937,0.05198776758409786,0.0,0.061068702290076333,0.031746031746031744,True,False,False,hot cocaccino,Beverage,Vegetarian
96,Easy Gluten Free Vegetarian Pasta Salad,0.17234848484848483,0.1523809523809524,0.17082179132040629,0.027522935779816515,0.01694915254237288,0.061068702290076333,0.4603174603174603,False,False,False,easy gluten free vegetarian pasta salad,Veggies/Beans,Vegetarian
97,Sweet Potato Casserole Gourmet & Holiday Baking,0.28977272727272724,0.06666666666666667,0.17297630040012313,0.14067278287461774,0.00847457627118644,0.061068702290076333,0.047619047619047616,True,True,False,sweet potato casserole gourmet & holiday baking,Grain/Pasta/Starch,Vegetarian
99,Peanut butter ice cream,0.10984848484848483,0.08571428571428572,0.11234225915666358,0.08256880733944955,0.05084745762711865,0.061068702290076333,0.031746031746031744,True,True,False,peanut butter ice cream,Dessert,Vegetarian
100,Orange Chocolate Cake,0.07386363636363637,0.0380952380952381,0.07202216066481995,0.04281345565749235,0.0847457627118644,0.061068702290076333,0.015873015873015872,False,False,False,orange chocolate cake,Dessert,Vegetarian
101,Cheesy Ham and Shrimp Macaroni Au Gratin,0.25,0.21904761904761905,0.20098491843644198,0.06116207951070336,0.01694915254237288,0.061068702290076333,0.3968253968253968,False,False,False,cheesy ham and shrimp macaroni au gratin,Seafood,Meat
102,Chicken Spaghettini With Fried Capers,0.6534090909090909,0.5714285714285714,0.5327793167128347,0.1926605504587156,0.0,0.061068702290076333,0.6190476190476191,False,False,True,chicken spaghettini with fried capers,Poultry,Meat
